SRL_NO,AGENTBOOTH_BRANCH,REQ_LIMIT,LOAN_TENOR,INTEREST_RATE,PROPOSED_EMI,EXISTING_LOAN,OUTSTANDING_AMOUNT,EXT_LOAN_EMI,BUS_ASSETS,MONTHLY_INCOME,BUSINESS_AGE,CASH_IN_HAND,STOCK,RECEIVABLE,PAYABLE,YEARLY_SALES,NET_PROFIT_MARGIN,DEBT_BUR_RATIO,LOAN_TO_PRICE,DEBT_EQU_RATIO,OWNER_AGE,OWNER_PNW,GUARANTOR_AGE,GUARANTOR_PNW,ELIGIBILITY_PART1,ELIGIBILITY_PART2,CIB_STATUS,APPROVED
3017,2,0.8,36,15,0.028,0,0,0,0.244,0.089,6,0.05,2.535,1.771,1,6.551,16.3,31.5,24.2,22.2,35,4.228,45,1,3,13.5,1,0
3020,2,0.1,3,14,0.001,0.25,0.19,0.012,0.175,0.058,9,0.2,0.651,0.084,0.05,5.882,11.8,21.9,42.4,27.4,40,2.78,38,3,4,16,1,1
3021,2,0.35,24,15,0.017,0,0,0,0.21,0.06,6,0.35,1.034,0.177,0.08,7.56,9.6,28.4,31,20.7,31,3.085,43,4,3,14.5,1,0
3022,1,0.8,36,15,0.028,0,0,0,0.84,0.039,5,0.2,1.561,0.042,0.01,5.026,80.9,8.3,50.2,44.6,29,3.132,33,3,3,11.5,1,1
3023,2,0.2,24,15,0.01,0.6,0.3,0.039,0,0,8,0.38,1.736,0.12,0.082,7.07,14.3,57.6,11.3,23.2,37,0,29,4,4,3.5,0,0
3025,1,0.5,24,15,0.025,0,0,0,0.013,0.054,11,0.035,0.85,0.21,0.026,5.675,11.5,45.2,48.3,46.2,28,4.071,48,3,4,13.5,1,1
3027,2,0.3,6,15,0.004,0.8,0.496,0.028,0.236,0.209,10,0.1,3.722,0.519,0.18,15.95,15.7,15.1,19.6,18.1,39,9.605,41,4,3,15,1,1
3028,2,0.7,9,15,0.009,0.5,0,0,0.417,0.057,14,0.088,1.009,0.51,0.111,8.141,8.4,15.3,49.8,36.6,40,5.546,41,3,5,15,1,1
3030,2,0.5,24,15,0.025,0,0,0,0.35,0.091,6,0.05,1.063,0.558,0.06,11.85,9.2,27,32,25.5,33,8.1,28,4,4,15,1,1
3031,2,0.8,36,14,0.028,0,0,0,0.357,0.095,0,0.075,1.406,0.29,0.145,7.132,16,29,51.6,40.3,28,4.751,31,1,2,12.5,0,0
