SRL_NO,AGENTBOOTH_BRANCH,REQ_LIMIT,LOAN_TENOR,INTEREST_RATE,PROPOSED_EMI,EXISTING_LOAN,OUTSTANDING_AMOUNT,EXT_LOAN_EMI,BUS_ASSETS,MONTHLY_INCOME,BUSINESS_AGE,CASH_IN_HAND,STOCK,RECEIVABLE,PAYABLE,YEARLY_SALES,NET_PROFIT_MARGIN,DEBT_BUR_RATIO,LOAN_TO_PRICE,DEBT_EQU_RATIO,OWNER_AGE,OWNER_PNW,GUARANTOR_AGE,GUARANTOR_PNW,ELIGIBILITY_PART1,ELIGIBILITY_PART2,CIB_STATUS,APPROVED
"7,669",2,0.800,36,14,0.028,0,0,0,0.8,0.1,9,0.2,1.9,0.5,0.5,12,15,18.4,42.1,27.6,37,10,31,4,3,15,0,0
"7,670",2,0.500,24,14,0.024,0,0,0,0.4,0.047,4,0.18,1.35,0.28,0.12,3.26,17.1,52.1,33.1,23.9,32,1.725,32,4,3,11.500,1,1
"7,671",2,0.500,24,12,0.024,0.3,0.096,0.015,3.43,0.094,19,0.05,1.1,0.135,0.03,7.98,14.1,25.3,41.5,10.7,37,3.526,43,1,4,16.500,1,1
"7,672",2,0.800,36,12,0.027,0.8,0.235,0.028,0.615,0.114,11,0.3,2.122,0.169,0.075,9.656,14.2,23.5,36.1,25.6,34,6.496,39,10,4,14.500,0,0
"7,673",2,0.500,24,14,0.024,0,0,0,0.03,0.088,14,0.1,1.438,0.902,0.064,10.179,10.4,27.6,22,20.8,54,6.476,45,5,4,14.500,0,0
"7,674",2,0.800,36,12,0.027,0.5,0.09,0.024,0.582,0.116,9,0.05,1.524,1.221,0.188,9.77,14.2,23.2,31.3,25.1,38,2.016,39,7,2,15,1,1
"7,675",2,1.200,36,14,0.041,0.8,0.433,0.032,1.689,0.246,10,0.1,3.274,2.46,0.8,24.633,12,16.9,24.3,17.9,37,10.367,39,5,0,7.500,1,0
"7,676",2,0.800,36,14,0.028,0,0,0,3.763,0.063,6,0.07,1.149,0.288,0.02,9.933,7.6,43.9,56.5,15.2,35,18.038,31,3,3.500,16,1,0
"7,677",1,0.500,24,14,0.024,0.3,0,0,0.388,0.073,7,0.1,0.824,0.14,0.085,5.437,16.2,33.1,56.8,58.5,31,8.914,35,6,3,14.500,1,1
"7,678",1,0.350,24,14,0.017,0,0,0,0.18,0.06,7,0.28,0.615,0.13,0.035,4.032,17.9,28.3,49.3,29.9,37,6.23,34,4,3,15.500,1,1
"7,679",1,0.500,24,14,0.024,0.3,0.01,0,0.1,0.068,9,0.58,1.28,0.145,0.08,4.325,18.9,35.7,43.1,28.6,50,4.125,46,2,4,15,1,1
"7,680",2,0.800,36,14,0.028,0,0,0,0.807,0.09,26,0.3,3.706,0.841,0.447,15.695,6.9,30.6,19.5,15.4,56,12.851,36,8,4,14.500,1,1
"7,681",1,0.800,36,14,0.028,0,0,0,1.07,0.148,4,0.35,2.215,0.45,0.235,19.84,9,18.7,32.9,20.8,40,8.985,33,8,2,14,1,1
"7,682",1,0.500,24,12,0.024,0.29,0.242,0,0.181,0.066,9,0.185,1.459,0.231,0.274,4.137,19,36.2,35.3,41.7,29,7.53,32,5,4,12.500,0,0
"7,683",2,0.200,24,14,0.01,0,0,0,0.095,0.054,3,0.05,0.655,0.075,0,5.547,9.7,21.6,27.4,22.9,30,1.175,40,10,2,13.500,1,1
"7,684",2,0.500,24,9,0.023,0,0,0,0.547,0.071,0,0.25,1.111,0.283,0.076,6.045,14,32.6,37.9,23.6,43,2.736,48,13,3,13,1,1
"7,685",2,0.500,24,14,0.024,0,0,0,0.192,0.077,13,0.225,1.267,0.121,0.076,7.047,13.1,31.5,38.1,28.9,19,3.912,44,3,3,13,1,1
"7,686",1,0.800,12,14,0.073,0,0,0,0.65,0.211,4,0.23,3.449,1.35,0.27,36.44,6.9,34.5,17.7,14.8,42,20.039,30,6,3,15,1,1
"7,687",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7,688",1,0.800,36,14,0.028,0,0,0,0.504,0.087,12,0.3,1.421,0.88,0.132,8.807,11.8,31.9,36.9,26.9,27,9.62,37,7,4.500,11,1,1
"7,689",1,0.800,36,14,0.028,0,0,0,0.2,0.185,21,0.2,1.955,0.92,0.48,13.325,16.7,14.9,33.4,28.6,41,8.295,37,5,3,15.500,1,1
"7,693",1,0.400,24,14,0.019,0,0,0,0.575,0.047,5,0.026,0.593,0.235,0.015,4.994,11.2,41.7,49.2,28.3,35,2.938,49,2,3,14,1,1
"7,694",2,0.500,24,14,0.024,0.3,0.07,0.015,0.285,0.075,9,0.05,1.013,0.395,0.15,5.409,16.6,32.5,39.8,31.4,35,4.006,36,6,3,14.500,1,1
"7,695",2,0.500,24,14,0.024,0,0,0,0.3,0.045,3,0.18,1.136,0.28,0.125,3.7,14.7,53.6,38.7,28.2,37,2.596,30,5,4,11,1,1
"7,696",2,0.500,7,14,0.01,0,0,0,0.165,0.059,7,0.1,1.05,0.74,0.22,11.03,6.4,17,31.9,27.3,45,25,37,6,4,15,1,1
"7,697",2,1.500,7,14,0,3.3,2.5,0,1.149,0.209,9,0.6,5.979,3.238,1.275,25.96,9.7,0,18.9,41.3,29,9.865,34,13,0,7.500,1,1
